Speed (ft/s),Motor Command (ul)
0,0
1.06,0.1
2.87,0.2
4.6,0.3
6.33,0.4
8.02,0.5
9.71,0.6
11.42,0.7
13.09,0.8
14.78,0.9
16.45,1
